17,España,3,3,5
20,Monaco,4,4,9
14,Canda,3,3,3
10,paraguay,5,4,10
20,Italia,3,5,7
4,Belgica,3,2,10
11,Francia,5,1,10
21,argentina,5,4,10
7,nuevaZelanda,3,3,7
18,USA,3,2,9
23,Androrra,4,2,4
9,Monaco,1,3,6
10,chile,2,2,3
9,Francia,3,1,8
6,Alemania,3,3,7
24,Ucrania,4,3,8
19,Francia,4,5,7
17,argentina,1,5,2
10,Canda,2,3,2
6,Belgica,5,3,8
24,Francia,5,1,1
24,Suzia,5,5,1
16,paraguay,3,3,6
20,Belgica,5,3,3
22,Macdonia,5,2,4
12,australia,1,1,4
4,Belgica,1,1,2
17,Monaco,3,3,5
21,Macdonia,1,3,2
22,uruguay,1,5,6
12,nuevaZelanda,1,2,9
18,Canda,5,4,7
11,USA,1,5,5
24,brazil,4,2,7
11,Portugal,5,1,5
10,Monaco,1,4,1
2,Alemania,4,1,7
5,Italia,4,4,10
24,Portugal,1,1,4
14,Mexico,3,3,7
13,Alemania,3,1,5
17,eslovenia,1,1,2
19,colombia,1,3,3
20,peru,4,3,8
13,USA,3,3,10
15,nuevaZelanda,4,3,8
16,Italia,3,2,10
4,argentina,5,5,4
7,BUlgaria,2,1,7
3,Belgica,3,1,4
9,Macdonia,2,3,9
9,Francia,4,4,3
10,BUlgaria,5,4,8
18,paraguay,4,4,5
9,Ucrania,1,2,5
24,nuevaZelanda,1,2,4
10,Mexico,4,5,6
16,España,5,1,9
23,Canda,4,4,8
8,Inglaterra,2,3,8
6,brazil,2,5,3
19,Mexico,5,1,9
4,USA,5,2,4
5,chile,5,2,10
18,brazil,1,2,9
11,Ucrania,5,2,9
6,eslovenia,2,4,6
18,Suzia,2,1,2
14,Mexico,4,1,5
9,Italia,3,4,4
25,Inglaterra,3,3,10
7,Inglaterra,3,3,9
15,BUlgaria,1,1,9
17,Ucrania,4,4,8
2,Francia,3,3,1
23,peru,2,3,6
15,Mexico,5,3,7
13,colombia,1,1,5
9,Alemania,4,3,4
21,Inglaterra,2,4,7
22,peru,5,4,1
15,peru,1,4,10
8,Mexico,2,5,8
10,Androrra,2,1,7
2,eslovenia,1,4,10
7,Mexico,3,3,10
6,eslovenia,4,1,5
21,peru,5,3,6
10,nuevaZelanda,3,1,3
15,BUlgaria,4,1,2
3,Monaco,5,1,9
11,colombia,5,1,3
17,australia,5,2,1
25,paraguay,1,5,6
