51,colombia,4,2,8
51,USA,4,2,9
51,Canda,1,1,8
51,peru,5,5,2
51,Italia,1,4,4
51,australia,2,1,6
51,nuevaZelanda,5,2,2
51,Macdonia,5,5,9
51,Belgica,1,3,6
51,nuevaZelanda,5,3,2
51,colombia,4,2,8
51,USA,4,2,9
51,Canda,1,1,8
51,peru,5,5,2
51,Italia,1,4,4
51,australia,2,1,6
51,nuevaZelanda,5,2,2
51,Macdonia,5,5,9
51,Belgica,1,3,6
51,nuevaZelanda,5,3,2
51,colombia,4,2,8
51,USA,4,2,9
51,Canda,1,1,8
51,peru,5,5,2
51,Italia,1,4,4
51,australia,2,1,6
51,nuevaZelanda,5,2,2
51,Macdonia,5,5,9
51,Belgica,1,3,6
51,nuevaZelanda,5,3,2
51,colombia,4,2,8
51,USA,4,2,9
51,Canda,1,1,8
51,peru,5,5,2
51,Italia,1,4,4
51,australia,2,1,6
51,nuevaZelanda,5,2,2
51,Macdonia,5,5,9
51,Belgica,1,3,6
51,nuevaZelanda,5,3,2
51,colombia,4,2,8
51,USA,4,2,9
51,Canda,1,1,8
51,peru,5,5,2
51,Italia,1,4,4
51,australia,2,1,6
51,nuevaZelanda,5,2,2
51,Macdonia,5,5,9
51,Belgica,1,3,6
51,nuevaZelanda,5,3,2
51,colombia,4,2,8
51,USA,4,2,9
51,Canda,1,1,8
51,peru,5,5,2
51,Italia,1,4,4
51,australia,2,1,6
51,nuevaZelanda,5,2,2
51,Macdonia,5,5,9
51,Belgica,1,3,6
51,nuevaZelanda,5,3,2
51,colombia,4,2,8
51,USA,4,2,9
51,Canda,1,1,8
51,peru,5,5,2
51,Italia,1,4,4
51,australia,2,1,6
51,nuevaZelanda,5,2,2
51,Macdonia,5,5,9
51,Belgica,1,3,6
51,nuevaZelanda,5,3,2
51,colombia,4,2,8
51,USA,4,2,9
51,Canda,1,1,8
51,peru,5,5,2
51,Italia,1,4,4
51,australia,2,1,6
51,nuevaZelanda,5,2,2
51,Macdonia,5,5,9
51,Belgica,1,3,6
51,nuevaZelanda,5,3,2
51,colombia,4,2,8
51,USA,4,2,9
51,Canda,1,1,8
51,peru,5,5,2
51,Italia,1,4,4
51,australia,2,1,6
51,nuevaZelanda,5,2,2
51,Macdonia,5,5,9
51,Belgica,1,3,6
51,nuevaZelanda,5,3,2
51,colombia,4,2,8
51,USA,4,2,9
51,Canda,1,1,8
51,peru,5,5,2
51,Italia,1,4,4
51,australia,2,1,6
51,nuevaZelanda,5,2,2
51,Macdonia,5,5,9
51,Belgica,1,3,6
51,nuevaZelanda,5,3,2
51,colombia,4,2,8
51,USA,4,2,9
51,Canda,1,1,8
51,peru,5,5,2
51,Italia,1,4,4
51,australia,2,1,6
51,nuevaZelanda,5,2,2
51,Macdonia,5,5,9
51,Belgica,1,3,6
51,nuevaZelanda,5,3,2
